variant_id,source_kb_id,category,subcategory,original_question,variant_question,review_status,review_notes
v146,73,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سبب آهي دور جي درد؟,ماهواري وقت پيٽ ۾ سور جو سبب ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v147,74,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هر دور ۾ درد ٿيڻ عام آهي؟,هر ماهواري ۾ درد ٿيڻ عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v148,74,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هر دور ۾ درد ٿيڻ عام آهي؟,ماهواري وقت سور هجڻ معمول جي ڳالھ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v149,75,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,وچ ۾ ڇا فرق آهي؟,ماهواري جي عام درد ۽ سخت مسئلي واري درد ۾ ڇا فرق آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v150,75,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,وچ ۾ ڇا فرق آهي؟,ماهواري ۾ ٿورو سور ۽ گھڻو سور، انهن ۾ ڇا فرق آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v151,76,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڪهڙيون اوور دي ڪائونٽر دوائون پيٽ جي درد ۾ مدد ڪن ٿيون؟,ماهواري جي سور لاءِ ڪهڙيون بنا نسخي واريون دوائون ملن ٿيون؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v152,76,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڪهڙيون اوور دي ڪائونٽر دوائون پيٽ جي درد ۾ مدد ڪن ٿيون؟,ماهواري جي درد ۾ عام طور تي ڪهڙيون دوائون ڪم اينديون آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v153,77,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا حرارتي پيڊ دور جي دردن سان مدد ڪري ٿو؟,گرم پاڻي جي بوتل يا هيٽنگ پيڊ ماهواري جي درد ۾ مدد ڪري ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v154,77,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا حرارتي پيڊ دور جي دردن سان مدد ڪري ٿو؟,پيٽ تي گرمي ڏيڻ سان ماهواري جو سور گھٽجي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v155,78,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا مشق درد جي درد کي گھٽائڻ ۾ مدد ڪري سگھي ٿي؟,ورزش ڪرڻ سان ماهواري جو درد گھٽ ٿي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v156,78,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا مشق درد جي درد کي گھٽائڻ ۾ مدد ڪري سگھي ٿي؟,هلڪي ڦلڪي مشق ماهواري جي سور ۾ فائدو ڏئي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v157,79,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,جڏهن پيٽ جي درد کي ڊاڪٽر طرفان چڪاس ڪيو وڃي؟,ماهواري جو درد ڪڏهن ڊاڪٽر کان چيڪ ڪرائجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v158,79,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,جڏهن پيٽ جي درد کي ڊاڪٽر طرفان چڪاس ڪيو وڃي؟,ماهواري جي سور لاءِ ڪهڙي حالت ۾ ڊاڪٽر ڏانهن وڃجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v159,80,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد پوئتي يا پيرن ڏانهن وڌي سگهي ٿو؟,ماهواري جو سور پٺيءَ يا پيرن ڏانهن به وڃي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v160,80,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد پوئتي يا پيرن ڏانهن وڌي سگهي ٿو؟,پيٽ جو سور ٻين حصن ۾ به محسوس ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v161,81,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا غذا پيٽ جي درد کي متاثر ڪري ٿو؟,کاڌي پيتي جو اثر ماهواري جي سور تي پوي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v162,81,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا غذا پيٽ جي درد کي متاثر ڪري ٿو؟,ڪجهه کاڌا کائڻ سان ماهواري جو درد وڌي يا گھٽجي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v163,82,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هارمونل ڄمڻ جو ڪنٽرول پيٽ جي درد کي گھٽائي سگھي ٿو؟,هارمونل ڄمڻ جون گوريون ماهواري جو سور گھٽائي سگهن ٿيون ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v164,82,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هارمونل ڄمڻ جو ڪنٽرول پيٽ جي درد کي گھٽائي سگھي ٿو؟,ڄمڻ جي ڪنٽرول واري دوا سان ماهواري جو درد آسان ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v165,83,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا دوري دوران الٽي يا دستن جو تعلق دردن سان آهي؟,ماهواري دوران الٽي يا دستن جو تعلق درد سان آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v166,83,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا دوري دوران الٽي يا دستن جو تعلق دردن سان آهي؟,ماهواري وقت دل ملڻ يا دستن جو سبب ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v167,84,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا درد جو درد عام طور تي عمر سان بهتر ٿيندو آهي؟,عمر وڌڻ سان ماهواري جو درد گھٽجي ويندو آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v168,84,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا درد جو درد عام طور تي عمر سان بهتر ٿيندو آهي؟,وڏي عمر ۾ ماهواري جو سور پهرين کان گھٽ ٿي ويندو آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v169,85,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا ڊيهائيڊريشن پيٽ جي درد کي خراب ڪري سگهي ٿو؟,پاڻي گھٽ پيئڻ سان ماهواري جو سور وڌي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v170,85,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا ڊيهائيڊريشن پيٽ جي درد کي خراب ڪري سگهي ٿو؟,بدن ۾ پاڻي جي کوٽ ماهواري جي درد کي خراب ڪري ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v171,86,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا اهو محفوظ آهي ibuprofen هر مهيني پيٽ جي دردن لاءِ؟,هر مهيني ibuprofen کائڻ محفوظ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v172,86,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا اهو محفوظ آهي ibuprofen هر مهيني پيٽ جي دردن لاءِ؟,ماهواري جي درد لاءِ هر ڀيري ibuprofen استعمال ڪرڻ نقصانڪار آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v173,87,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا مساج حيض جي دردن سان مدد ڪري سگھي ٿو؟,مساج ڪرڻ سان ماهواري جو سور گھٽجي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v174,87,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا مساج حيض جي دردن سان مدد ڪري سگھي ٿو؟,پيٽ کي مساج ڏيڻ سان ماهواري جو درد آسان ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v175,88,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سخت دور جو درد جو مطلب هميشه endometriosis آهي؟,سخت ماهواري جو درد هميشه endometriosis جي نشاني هوندي آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v176,88,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سخت دور جو درد جو مطلب هميشه endometriosis آهي؟,بيحد سور جو مطلب ضروري ناهي ته endometriosis ئي هجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v177,89,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڪهڙيون طرز زندگي جون عادتون وقت سان گڏ پيٽ جي درد کي گهٽائڻ ۾ مدد ڪري سگهن ٿيون؟,روزمره جون ڪهڙيون عادتون وقت سان گڏ ماهواري جو درد گھٽائين ٿيون؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v178,89,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڪهڙيون طرز زندگي جون عادتون وقت سان گڏ پيٽ جي درد کي گهٽائڻ ۾ مدد ڪري سگهن ٿيون؟,طرز زندگي ۾ ڪهڙيون تبديليون ماهواري جي سور کي گھٽائين ٿيون؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v179,90,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جي درد خاص طور تي هيٺين پوئتي درد جي ڪري سگھي ٿو؟,ماهواري جو درد خاص طور تي پٺيءَ جي هيٺين حصي ۾ ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v180,90,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جي درد خاص طور تي هيٺين پوئتي درد جي ڪري سگھي ٿو؟,ڪمر جي هيٺئين حصي ۾ سور ماهواري جي درد جو حصو آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v181,91,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا رت جي وهڪري شروع ٿيڻ کان اڳ پيٽ ۾ درد شروع ٿيڻ عام آهي؟,رت اچڻ کان اڳ ئي پيٽ ۾ سور شروع ٿيڻ عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v182,91,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا رت جي وهڪري شروع ٿيڻ کان اڳ پيٽ ۾ درد شروع ٿيڻ عام آهي؟,ماهواري شروع ٿيڻ کان پهريان درد محسوس ٿئي ته اهو معمول آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v183,92,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سانس جي مشق يا آرام واري ٽيڪنڪ درد کي آسان ڪري سگھن ٿا؟,ساهه کڻڻ يا آرام واريون ٽيڪنڪون ماهواري جو درد گھٽائي سگهن ٿيون ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v184,92,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سانس جي مشق يا آرام واري ٽيڪنڪ درد کي آسان ڪري سگھن ٿا؟,مراقبي يا آرام سان ماهواري جو سور آسان ٿي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v185,93,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا ڪيفين پيٽ جي درد کي وڌيڪ خراب ڪري ٿو؟,ڪافي پيئڻ سان ماهواري جو درد وڌي وڃي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v186,93,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا ڪيفين پيٽ جي درد کي وڌيڪ خراب ڪري ٿو؟,گھڻي چانهه يا ڪافي ماهواري جي سور کي خراب ڪري ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v187,94,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هڪ TENS مشين پيٽ جي دردن سان مدد ڪري سگهي ٿي؟,TENS مشين ماهواري جي درد ۾ مدد ڏئي سگهي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v188,94,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هڪ TENS مشين پيٽ جي دردن سان مدد ڪري سگهي ٿي؟,برقي علاج (TENS) سان ماهواري جو سور گھٽجي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v189,95,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,پيٽ جي دردن لاءِ ibuprofen جو پيش ڪيل دوز ڇا آهي؟,ماهواري جي درد لاءِ ibuprofen جي ڪيتري مقدار کائبي آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v190,95,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,پيٽ جي دردن لاءِ ibuprofen جو پيش ڪيل دوز ڇا آهي؟,ماهواري جي سور ۾ ibuprofen جو صحيح ڊوز ڪيترو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v191,96,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇو درد ڪڏهن ڪڏهن پوئين چڪر جي ڀيٽ ۾ وڌيڪ خراب محسوس ڪندو آهي؟,هر مهيني ماهواري جو سور پهرين کان وڌيڪ ڇو محسوس ٿئي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v192,96,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇو درد ڪڏهن ڪڏهن پوئين چڪر جي ڀيٽ ۾ وڌيڪ خراب محسوس ڪندو آهي؟,ڪجهه مهينن ۾ ماهواري جو درد وڌيڪ ڇو ٿيندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v193,97,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد اسڪول يا ڪم جي حاضري تي اثر انداز ڪري سگھي ٿو؟,ماهواري جي سور سبب اسڪول يا نوڪري تي وڃڻ ۾ مشڪل ٿئي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v194,97,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد اسڪول يا ڪم جي حاضري تي اثر انداز ڪري سگھي ٿو؟,ماهواري جو درد ايترو هجي جو اسڪول/ڪم ڇڏجي، ڇا اهو ٿيندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v195,98,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا دوري جي پهرين ڏينهن تي دردن جو خراب ٿيڻ عام آهي؟,ماهواري جي پهرين ڏينهن تي درد وڌيڪ خراب هجڻ عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v196,98,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا دوري جي پهرين ڏينهن تي دردن جو خراب ٿيڻ عام آهي؟,پهرين ڏينهن ماهواري جو سور سڀ کان وڌيڪ ٿيندو آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v197,99,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هيبل چانهه جهڙوڪ ادرک يا چامومائل پيٽ جي درد ۾ مدد ڪري سگھن ٿا؟,ادرک يا چامومائل واري چانهه ماهواري جي سور ۾ مدد ڪري ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v198,99,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا هيبل چانهه جهڙوڪ ادرک يا چامومائل پيٽ جي درد ۾ مدد ڪري سگھن ٿا؟,جڙي ٻوٽين واري چانهه سان ماهواري جو درد گھٽجي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v199,100,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سگريٽ نوشي جي درد کي متاثر ڪري ٿو؟,سگريٽ نوشي ماهواري جي درد تي اثر انداز ٿئي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v200,100,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سگريٽ نوشي جي درد کي متاثر ڪري ٿو؟,تماڪ پيئڻ سان ماهواري جو سور وڌي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v201,101,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سمهڻ واري پوزيشن دوران درد جي آرام کي متاثر ڪري سگهي ٿي؟,سمهڻ جي طريقي سان ماهواري جو درد گھٽ يا وڌ ٿي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v202,101,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا سمهڻ واري پوزيشن دوران درد جي آرام کي متاثر ڪري سگهي ٿي؟,ڪهڙي پوزيشن ۾ سمهڻ سان ماهواري جو سور آسان ٿئي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v203,102,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد موروثي آهي؟,ماهواري جو درد ماءُ کان ڌيءَ ڏانهن منتقل ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v204,102,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد موروثي آهي؟,خاندان ۾ ماهواري جو سور وراثت ۾ ملي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v205,103,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڪنهن کي ڇا ڪرڻ گهرجي جيڪڏهن اوور دي ڪائونٽر درد رليف پيٽ جي درد لاءِ ڪم نه ڪري؟,عام دوائون ماهواري جي درد ۾ ڪم نه ڪن ته پوءِ ڇا ڪجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v206,103,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڪنهن کي ڇا ڪرڻ گهرجي جيڪڏهن اوور دي ڪائونٽر درد رليف پيٽ جي درد لاءِ ڪم نه ڪري؟,درد جي گوريون اثر نه ڪن ته ماهواري جي سور لاءِ ٻيو ڇا ڪري سگهجي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v207,104,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد فائبروڊ جي نشاني ٿي سگهي ٿو؟,ماهواري جو تيز درد fibroids جي نشاني ٿي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v208,104,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد فائبروڊ جي نشاني ٿي سگهي ٿو؟,بار بار سخت سور uterus ۾ fibroid هجڻ جي علامت آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v209,105,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جي درد دوران ٿڪڻ عام آهي؟,ماهواري جي درد دوران ٿڪاوٽ محسوس ٿيڻ عام آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v210,105,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جي درد دوران ٿڪڻ عام آهي؟,ماهواري وقت جسم ۾ ٿڪ محسوس ٿيڻ معمول جي ڳالھ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v211,106,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا گرم پاڻي پيئڻ سان دردن ۾ مدد ملندي آهي؟,گرم پاڻي پيئڻ سان ماهواري جو درد گھٽجي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v212,106,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا گرم پاڻي پيئڻ سان دردن ۾ مدد ملندي آهي؟,نيم گرم پاڻي پيئڻ سان ماهواري جي سور ۾ آرام اچي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v213,107,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد ٻار ٿيڻ کان پوء تبديل ٿي سگهي ٿو؟,ٻار ٿيڻ کان پوءِ ماهواري جو درد بدلجي سگهي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v214,107,حيض جي صحت ۽ مدت,حيض جو درد ۽ درد کان نجات,ڇا پيٽ جو درد ٻار ٿيڻ کان پوء تبديل ٿي سگهي ٿو؟,ٻار جي ڄمڻ بعد ماهواري جو سور گھٽ يا وڌ ٿئي ٿو ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v215,108,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڳري حيض جي خونريزي کي ڇا سمجهيو ويندو آهي؟,ماهواري ۾ گھڻي رت وهڻ کي ڇا چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v216,108,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڳري حيض جي خونريزي کي ڇا سمجهيو ويندو آهي؟,'ڳري ماهواري' جو مطلب ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v217,109,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),وڏن دورن جا عام سبب ڪهڙا آهن جيڪي حمل سان لاڳاپيل نه آهن؟,حمل کان سواءِ ماهواري ۾ گھڻي رت وهڻ جا عام سبب ڪهڙا آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v218,109,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),وڏن دورن جا عام سبب ڪهڙا آهن جيڪي حمل سان لاڳاپيل نه آهن؟,بغير حمل جي ماهواري ڳري ٿي وڃي ته ان جا ڪارڻ ڪهڙا هوندا آهن؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v219,110,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),جڏهن وڏي خونريزي کي ڊاڪٽر طرفان چيڪ ڪرڻ گهرجي؟,ماهواري ۾ گھڻي خونريزي ڪڏهن ڊاڪٽر کان چيڪ ڪرائجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v220,110,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),جڏهن وڏي خونريزي کي ڊاڪٽر طرفان چيڪ ڪرڻ گهرجي؟,ماهواري جو رت گھڻو وهي ته ڪهڙي حالت ۾ ڊاڪٽر وٽ وڃجي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v221,111,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا ڳري مدت انميا جو سبب بڻجي سگهي ٿي؟,ڳري ماهواري سبب جسم ۾ رت جي کوٽ (انيميا) ٿي سگهي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v222,111,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا ڳري مدت انميا جو سبب بڻجي سگهي ٿي؟,گھڻي رت وهڻ ڪري بدن ۾ رت گھٽجي وڃي ٿي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v223,112,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا سمجهيو ويندو آهي هلڪو خونريزي يا روشني وارو دور؟,ٿوري رت واري ماهواري کي ڇا چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v224,112,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا سمجهيو ويندو آهي هلڪو خونريزي يا روشني وارو دور؟,'هلڪي ماهواري' جو مطلب ڪهڙو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v225,113,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا ڪري سگھي ٿو غير معمولي روشني واري دور جو؟,غير معمولي طور ٿوري رت واري ماهواري جو سبب ڪهڙو ٿي سگهي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v226,113,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا ڪري سگھي ٿو غير معمولي روشني واري دور جو؟,ماهواري ضرورت کان تمام گھٽ اچي ته ان جو ڪارڻ ڇا هوندو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v227,114,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),اسپاٽنگ ڇا آهي؟,period کان اڳ يا پوءِ ٿورو رت اچڻ کي ڇا سڏجي ٿو؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v228,114,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),اسپاٽنگ ڇا آهي؟,ماهواري کان اڳ يا پوءِ ٿورو رت اچڻ کي ڇا چئبو آهي؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v229,115,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا دورن جي وچ ۾ ڏسڻ هميشه پريشان ٿيڻ جي شيء آهي؟,ٻن ماهوارين جي وچ ۾ رت جا دز اچن ته ضرور ڳڻتي جي ڳالھ آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
v230,115,حيض جي صحت ۽ مدت,وهڻ جون تبديليون (وڌيڪ/گهٽ/داغ),ڇا دورن جي وچ ۾ ڏسڻ هميشه پريشان ٿيڻ جي شيء آهي؟,وچ ۾ ٿورو رت اچڻ هميشه خطرناڪ هوندو آهي ڇا؟,auto_ok,genuine reword - ماهواري vocabulary - needs native-speaker review
