id,rule,category,question_before,question_after,answer_before,answer_after,question_changed
321,period -> ماهواري,ذهني صحت ۽ جذباتي ڀلائي,نئين ماءُ ڪيئن جذباتي طور تي ننڊ جي محروميءَ سان منهن ڏئي سگهي ٿي شروعاتي هفتن ۾؟,نئين ماءُ ڪيئن جذباتي طور تي ننڊ جي محروميءَ سان منهن ڏئي سگهي ٿي شروعاتي هفتن ۾؟,ٻين کان مدد قبول ڪرڻ، آرام ڪرڻ جڏهن ممڪن هجي ته مختصر عرصي ۾ به، ۽ جيڪي ڪجهه ڪيو وڃي ٿو ان بابت پاڻ سان نرمي ڪرڻ، هن ٿڪائيندڙ دور ۾ تمام مددگار جذباتي منهن ڏيڻ واريون حڪمت عمليون آهن.,ٻين کان مدد قبول ڪرڻ، آرام ڪرڻ جڏهن ممڪن هجي ته مختصر ماهواري ۾ به، ۽ جيڪي ڪجهه ڪيو وڃي ٿو ان بابت پاڻ سان نرمي ڪرڻ، هن ٿڪائيندڙ دور ۾ تمام مددگار جذباتي منهن ڏيڻ واريون حڪمت عمليون آهن.,False
350,period -> ماهواري,ذهني صحت ۽ جذباتي ڀلائي,ڇا جسم جي تصوير جي خدشات ننڍپڻ يا جوانيء ۾ شروع ٿي سگهي ٿي؟,ڇا جسم جي تصوير جي خدشات ننڍپڻ يا جوانيء ۾ شروع ٿي سگهي ٿي؟,ها، جسم جي تصوير جي شعور ۽ خدشات اڪثر ڪري ننڍپڻ دوران شروع ٿينديون آهن ۽ نوجوانيء جي دوران تيز ٿينديون آهن، هڪ عرصو تيز جسماني تبديلين جي نشاندهي ڪئي وئي آهي ۽ سماجي مقابلي ۾ اضافو ٿيو.,ها، جسم جي تصوير جي شعور ۽ خدشات اڪثر ڪري ننڍپڻ دوران شروع ٿينديون آهن ۽ نوجوانيء جي دوران تيز ٿينديون آهن، هڪ ماهواري تيز جسماني تبديلين جي نشاندهي ڪئي وئي آهي ۽ سماجي مقابلي ۾ اضافو ٿيو.,False
425,period -> ماهواري,ذهني صحت ۽ جذباتي ڀلائي,ڇا اهو عام آهي ننڊ جي ضرورتن کي تبديل ڪرڻ جي زندگي جي خاص طور تي دٻاء واري دور ۾؟,ڇا اهو عام آهي ننڊ جي ضرورتن کي تبديل ڪرڻ جي زندگي جي خاص طور تي دٻاء واري دور ۾؟,ها، ڪجهه ماڻهن کي تيز دٻاءُ واري دور ۾ وڌيڪ ننڊ جي ضرورت هوندي آهي جيئن جسم ۽ دماغ بحال ٿيڻ لاءِ ڪم ڪن ٿا، جڏهن ته ٻين کي ساڳئي عرصي دوران بيڪار ننڊ جو تجربو ٿي سگهي ٿو.,ها، ڪجهه ماڻهن کي تيز دٻاءُ واري دور ۾ وڌيڪ ننڊ جي ضرورت هوندي آهي جيئن جسم ۽ دماغ بحال ٿيڻ لاءِ ڪم ڪن ٿا، جڏهن ته ٻين کي ساڳئي ماهواري دوران بيڪار ننڊ جو تجربو ٿي سگهي ٿو.,False
457,period -> ماهواري,ذهني صحت ۽ جذباتي ڀلائي,ڪو ڪيئن اندازو لڳائي سگھي ٿو ته ڇا انهن جو دٻاء هڪ تشخيصي حالت بڻجي چڪو آهي جهڙوڪ پريشاني خرابي؟,ڪو ڪيئن اندازو لڳائي سگھي ٿو ته ڇا انهن جو دٻاء هڪ تشخيصي حالت بڻجي چڪو آهي جهڙوڪ پريشاني خرابي؟,هڪ ذهني صحت جو پروفيسر قائم ڪيل معيار جي خلاف علامتن جو جائزو وٺي سگھي ٿو. عام طور تي، مسلسل، گھڻي پريشاني جيڪا خاص طور تي روزاني زندگي کي ڊگھي عرصي تائين متاثر ڪري ٿي، ان قسم جي تشخيص کي ڳولڻ لاء اشارو آهي.,هڪ ذهني صحت جو پروفيسر قائم ڪيل معيار جي خلاف علامتن جو جائزو وٺي سگھي ٿو. عام طور تي، مسلسل، گھڻي پريشاني جيڪا خاص طور تي روزاني زندگي کي ڊگھي ماهواري تائين متاثر ڪري ٿي، ان قسم جي تشخيص کي ڳولڻ لاء اشارو آهي.,False
503,period -> ماهواري,حمل ۽ ماءُ جي صحت,حمل عام طور تي ڪيتري عرصي تائين رهندو آهي؟,حمل عام طور تي ڪيتري ماهواري تائين رهندو آهي؟,پورو حمل تقريباً چاليهه هفتا رهندو آهي، جنهن جو حساب پوئين ماهواري جي پهرين ڏينهن کان ڪيو ويندو آهي۔ ستٽيهن هفتن کان اڳ ڄمندڙ ٻارن کي وقت کان اڳ ڄاول (Preterm) چيو ويندو آهي، جن کي وڌيڪ سنڀال جي ضرورت هوندي آهي۔ توهان جو صحت ڪارڪن توهان کي ڄمڻ جي اندازي واري تاريخ ٻڌائي سگهي ٿو۔,پورو حمل تقريباً چاليهه هفتا رهندو آهي، جنهن جو حساب پوئين ماهواري جي پهرين ڏينهن کان ڪيو ويندو آهي۔ ستٽيهن هفتن کان اڳ ڄمندڙ ٻارن کي وقت کان اڳ ڄاول (Preterm) چيو ويندو آهي، جن کي وڌيڪ سنڀال جي ضرورت هوندي آهي۔ توهان جو صحت ڪارڪن توهان کي ڄمڻ جي اندازي واري تاريخ ٻڌائي سگهي ٿو۔,True
673,period -> ماهواري,حمل ۽ ماءُ جي صحت,ڄمڻ کانپوءِ جو وقت ايترو اهم ڇو آهي؟,ڄمڻ کانپوءِ جو وقت ايترو اهم ڇو آهي؟,گھڻيون ماءُ ۽ ٻار جون موتيون ڄمڻ کانپوءِ پهرين ڏينهن ۾ ٿين ٿيون۔ ان جي باوجود ڏهن مان ٽن کان وڌيڪ عورتن ۽ ٻارن کي هن عرصي ۾ ڪا به سنڀال نٿي ملي۔ اهو ئي اهو وقت آهي جڏهن چيڪ ڪرڻ سڀ کان وڌيڪ اهم آهي۔,گھڻيون ماءُ ۽ ٻار جون موتيون ڄمڻ کانپوءِ پهرين ڏينهن ۾ ٿين ٿيون۔ ان جي باوجود ڏهن مان ٽن کان وڌيڪ عورتن ۽ ٻارن کي هن ماهواري ۾ ڪا به سنڀال نٿي ملي۔ اهو ئي اهو وقت آهي جڏهن چيڪ ڪرڻ سڀ کان وڌيڪ اهم آهي۔,False
679,period -> ماهواري,حمل ۽ ماءُ جي صحت,ٻار ڄمڻ کانپوءِ صحتياب ٿيڻ ۾ ڪيترو وقت لڳي ٿو؟,ٻار ڄمڻ کانپوءِ صحتياب ٿيڻ ۾ ڪيترو وقت لڳي ٿو؟,پهريان ڇهه هفتا اهم صحتياب ٿيڻ وارو عرصو آهن، اهو ئي سبب آهي جو معائنا اهو عرصو گھمن ٿا۔ صحتياب ٿيڻ آهستي آهي ۽ عورت کان عورت مختلف آهي۔ آرام ڪريو، سٺي غذا کائو، ۽ پنهنجن معائنن ۾ وڃو۔,پهريان ڇهه هفتا اهم صحتياب ٿيڻ وارو ماهواري آهن، اهو ئي سبب آهي جو معائنا اهو ماهواري گھمن ٿا۔ صحتياب ٿيڻ آهستي آهي ۽ عورت کان عورت مختلف آهي۔ آرام ڪريو، سٺي غذا کائو، ۽ پنهنجن معائنن ۾ وڃو۔,False
778,period -> ماهواري,پي سي او ايس ۽ هارموني صحت,ڇا پي سي او ايس بلڪل به ماهواري نه اچڻ سان به ٿي سگهي ٿي؟,ڇا پي سي او ايس بلڪل به ماهواري نه اچڻ سان به ٿي سگهي ٿي؟,ها، غائب ماهواري پي سي او ايس جي سڃاتل نمونن مان هڪ آهي۔ ڊگھي عرصي تائين ماهواري نه اچڻ کي هميشه ڊاڪٽر سان ڳالهائجي۔ ان کي سادگي سان قبول نه ڪجي۔,ها، غائب ماهواري پي سي او ايس جي سڃاتل نمونن مان هڪ آهي۔ ڊگھي ماهواري تائين ماهواري نه اچڻ کي هميشه ڊاڪٽر سان ڳالهائجي۔ ان کي سادگي سان قبول نه ڪجي۔,False
1340,period -> ماهواري,مينوپاز ۽ مينوپاسل صحت,ڇا پري مينوپاز سبب ڊگھي عرصي تائين گھڻن ڏينھن تائين رھي سگھي ٿو؟,ڇا پري مينوپاز سبب ڊگھي ماهواري تائين گھڻن ڏينھن تائين رھي سگھي ٿو؟,ها، ڪجهه عورتن کي پريمينوپاز جي دوران ڊگهي عرصي وارو عرصو تجربو ٿئي ٿو، جيتوڻيڪ خونريزي معمول کان گهڻو وقت تائين رهي ٿي، ڊاڪٽر سان ڳالهايو وڃي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,ها، ڪجهه عورتن کي پريمينوپاز جي دوران ڊگهي ماهواري وارو ماهواري تجربو ٿئي ٿو، جيتوڻيڪ خونريزي معمول کان گهڻو وقت تائين رهي ٿي، ڊاڪٽر سان ڳالهايو وڃي. هي عام صحت جي معلومات آهي، نه هڪ تشخيص. ذاتي طبي مشوري لاءِ صحت جي سار سنڀار سان صلاح ڪريو.,True
1587,period -> ماهواري,زرخيزي ۽ پيداواري صحت,ڇا موبائيل فون يا ليپ ٽاپ جي گرمي مرد جي زرخيزي کي متاثر ڪري ٿي؟,ڇا موبائيل فون يا ليپ ٽاپ جي گرمي مرد جي زرخيزي کي متاثر ڪري ٿي؟,ڪجهه تحقيق مطابق اسڪروٽم جي ويجهو ڊگهي عرصي تائين گرمي رکڻ اسپرم جي معيار تي اثر انداز ٿي سگهي ٿي، جيتوڻيڪ ان جو حتمي اثر اڃا تحقيق هيٺ آهي.,ڪجهه تحقيق مطابق اسڪروٽم جي ويجهو ڊگهي ماهواري تائين گرمي رکڻ اسپرم جي معيار تي اثر انداز ٿي سگهي ٿي، جيتوڻيڪ ان جو حتمي اثر اڃا تحقيق هيٺ آهي.,False
1727,period -> ماهواري,زرخيزي ۽ پيداواري صحت,ڇا هڪ عورت پنهنجي دور جي ختم ٿيڻ کان پوء حامل ٿي سگهي ٿي؟,ڇا هڪ عورت پنهنجي دور جي ختم ٿيڻ کان پوء حامل ٿي سگهي ٿي؟,اهو ممڪن آهي، خاص طور تي عورتن ۾ جن ۾ ننڍو چڪر هوندو آهي، ڇاڪاڻ ته سپرم ڪيترائي ڏينهن زنده رهي سگهي ٿو ۽ عرصو ختم ٿيڻ کان پوءِ جلد ئي ovulation ٿي سگهي ٿو.,اهو ممڪن آهي، خاص طور تي عورتن ۾ جن ۾ ننڍو چڪر هوندو آهي، ڇاڪاڻ ته سپرم ڪيترائي ڏينهن زنده رهي سگهي ٿو ۽ ماهواري ختم ٿيڻ کان پوءِ جلد ئي ovulation ٿي سگهي ٿو.,False
1867,period -> ماهواري,ويجنل ۽ ذاتي صفائي,بار بار پيشاب جي رستي جي انفيڪشن کي ڪيئن روڪي سگهجي ٿو؟,بار بار پيشاب جي رستي جي انفيڪشن کي ڪيئن روڪي سگهجي ٿو؟,هائيڊريٽ ۾ رهڻ، جماع کان پوءِ پيشاب ڪرڻ، اڳيان کان پوئتي مسح ڪرڻ، ۽ پيشاب کي ڊگھي عرصي تائين رکڻ کان پاسو ڪرڻ، اهي سڀ شيون بار بار ايندڙ پيشاب جي رستي جي انفيڪشن جي خطري کي گهٽائڻ ۾ مدد ڪري سگهن ٿيون.,هائيڊريٽ ۾ رهڻ، جماع کان پوءِ پيشاب ڪرڻ، اڳيان کان پوئتي مسح ڪرڻ، ۽ پيشاب کي ڊگھي ماهواري تائين رکڻ کان پاسو ڪرڻ، اهي سڀ شيون بار بار ايندڙ پيشاب جي رستي جي انفيڪشن جي خطري کي گهٽائڻ ۾ مدد ڪري سگهن ٿيون.,False
1895,period -> ماهواري,ويجنل ۽ ذاتي صفائي,سڄي حيض واري چڪر ۾ خارج ٿيڻ ڪيئن بدلجي ٿو؟,سڄي حيض واري چڪر ۾ خارج ٿيڻ ڪيئن بدلجي ٿو؟,ڊسچارج هڪ عرصي کان پوءِ سڪل ٿيڻ لڳندو آهي، اووليشن جي ويجهو صاف ۽ ڊگهو ٿيندو آهي، ۽ هارمونل شفٽ جي ڪري بعد ۾ ٿلهو ۽ اڇو ٿيندو آهي.,ڊسچارج هڪ ماهواري کان پوءِ سڪل ٿيڻ لڳندو آهي، اووليشن جي ويجهو صاف ۽ ڊگهو ٿيندو آهي، ۽ هارمونل شفٽ جي ڪري بعد ۾ ٿلهو ۽ اڇو ٿيندو آهي.,False
